30,1,1,1,1,1,1,1,1,1,487,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
39,2,2,2,1,2,1,2,1,1,346,4,999,0,1,1.1,93.994,-36.4,4.855,5191,1
25,2,1,2,1,1,1,2,2,2,227,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
38,2,1,1,1,3,2,2,2,1,17,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
47,3,1,3,1,1,1,1,3,3,58,1,999,0,1,-0.1,93.2,-42,4.191,5195.8,1
32,2,2,3,1,2,1,1,4,4,128,3,999,2,2,-1.1,94.199,-37.5,0.884,4963.6,1
32,3,2,3,1,1,1,1,4,3,290,4,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,1
41,4,1,3,2,1,1,1,3,3,44,2,999,0,1,-0.1,93.2,-42,4.191,5195.8,1
31,2,3,4,1,2,1,1,3,5,68,1,999,1,2,-0.1,93.2,-42,4.153,5195.8,1
35,1,1,1,2,2,1,2,1,4,170,1,999,0,1,1.1,93.994,-36.4,4.855,5191,1
25,2,2,5,2,1,1,1,5,4,301,1,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
36,5,2,6,1,2,1,1,5,4,148,1,999,0,1,1.4,93.918,-42.7,4.968,5228.1,1
36,3,1,2,1,2,1,2,1,2,97,2,999,0,1,1.1,93.994,-36.4,4.859,5191,1
47,1,1,6,1,1,1,2,2,4,211,2,999,0,1,1.4,94.465,-41.8,4.958,5228.1,1
29,3,2,2,1,2,1,1,1,1,553,2,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
27,2,2,3,1,2,1,1,5,2,698,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
44,3,3,3,1,2,1,1,5,2,191,6,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
46,3,3,3,1,1,1,2,5,3,59,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
45,4,1,3,2,1,3,1,6,3,38,2,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
50,1,1,6,1,2,3,1,5,5,849,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,2
55,2,1,5,2,1,1,1,5,5,326,6,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
39,6,3,2,1,2,1,1,7,3,222,1,12,2,3,-1.8,93.369,-34.8,0.639,5008.7,2
29,6,2,3,1,1,3,1,6,2,626,3,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
40,7,1,2,1,2,3,1,6,2,119,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
44,6,1,4,2,1,1,2,1,1,388,7,999,0,1,1.1,93.994,-36.4,4.864,5191,1
38,6,1,4,1,1,1,1,6,3,479,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,2
36,6,3,4,1,2,1,2,1,2,446,1,999,0,1,1.1,93.994,-36.4,4.856,5191,1
28,1,1,5,2,2,1,1,1,3,68,2,999,1,2,-1.8,92.893,-46.2,1.299,5099.1,1
47,3,2,7,2,2,1,2,1,4,127,1,999,0,1,1.1,93.994,-36.4,4.86,5191,1
34,3,1,3,1,2,1,1,6,5,109,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
38,6,1,3,1,1,3,1,7,5,113,1,999,1,2,-1.8,92.843,-50,1.687,5099.1,1
33,2,1,2,2,1,1,2,2,3,393,3,999,0,1,1.4,94.465,-41.8,4.865,5228.1,1
51,6,2,3,1,2,1,1,2,1,151,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
30,1,2,6,2,1,1,2,2,5,256,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
48,6,1,3,1,2,1,1,6,4,42,7,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
28,1,2,1,1,1,1,2,2,2,525,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
36,1,1,5,1,1,1,2,1,2,57,1,999,0,1,1.1,93.994,-36.4,4.859,5191,1
46,7,3,2,1,2,1,1,3,2,499,1,999,0,1,-0.1,93.2,-42,4.12,5195.8,1
31,6,2,7,1,1,1,1,1,2,84,1,999,1,2,-1.8,92.893,-46.2,1.334,5099.1,1
20,8,2,7,1,2,1,1,8,3,137,3,999,3,2,-1.1,94.601,-49.5,0.977,4963.6,1
35,2,1,2,2,1,1,1,1,5,31,1,999,0,1,-1.8,92.893,-46.2,1.344,5099.1,1
